ranch,plot,tag_number,row,column,shoots_1998,height_1998,infl_1998,notes_1998,shoots_1999,height_1999,infl_1999,notes_1999,shoots_2000,height_2000,infl_2000,notes_2000,shoots_2001,height_2001,infl_2001,notes_2001,shoots_2002,height_2002,infl_2002,notes_2002,shoots_2003,height_2003,infl_2003,notes_2003
Esteio-Colosso,5750,873,J,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,1410,G,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,123,A,9,1,52,0,NA,1,36,0,NA,2,46,0,NA,1,59,0,NA,2,51,0,NA,2,29,0,NA
Esteio-Colosso,5750,428,J,8,2,48,0,NA,3,48,0,NA,2,56,0,NA,4,51,0,NA,6,61,0,NA,4,60,1,NA
Esteio-Colosso,5750,1370,G,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,346,E,6,5,58,1,NA,2,49,0,NA,1,29,0,NA,2,46,0,NA,3,45,0,NA,3,35,0,NA
Esteio-Colosso,5750,671,I,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,0,1,1,10,0,NA
Esteio-Colosso,5750,595,B,6,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,1,1,11,0,NA,2,11,0,90,1,9,0,NA
Esteio-Colosso,5750,413,J,10,2,44,0,NA,2,38,0,NA,3,39,0,NA,4,41,0,NA,5,40,0,NA,3,40,0,NA
Esteio-Colosso,5750,469,B,7,NA,NA,NA,NA,1,6,0,1,1,6,0,NA,1,10,0,NA,1,12,0,NA,1,10,0,NA
Esteio-Colosso,5750,1401,H,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,331,D,6,3,39,0,NA,3,46,0,NA,4,29,0,NA,4,43,0,NA,3,61,0,NA,4,51,0,NA
Esteio-Colosso,5750,1351,C,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,393,I,6,2,26,0,NA,4,30,0,NA,5,29,0,NA,4,32,0,NA,5,31,0,NA,2,32,0,NA
Esteio-Colosso,5750,473,B,6,3,37,0,NA,3,34,0,NA,3,33,0,NA,2,25,0,NA,1,21,0,NA,1,12,0,NA
Esteio-Colosso,5750,153,A,10,1,17,0,NA,2,18,0,NA,2,17,0,NA,2,23,0,NA,3,25,0,NA,2,24,0,NA
Esteio-Colosso,5750,224,F,6,1,20,0,NA,1,21,0,NA,2,23,0,NA,3,18,0,NA,2,25,0,NA,2,21,0,NA
Esteio-Colosso,5750,1395,B,6,4,65,0,NA,5,89,0,NA,5,82,0,NA,6,63,0,NA,5,81,0,NA,4,70,0,NA
Esteio-Colosso,5750,578,J,8,NA,NA,NA,NA,NA,NA,NA,NA,1,25,0,3,1,17,0,NA,3,18,0,NA,4,20,0,NA
Esteio-Colosso,5750,453,A,6,NA,NA,NA,NA,1,2,0,1,1,8,0,NA,1,9,0,NA,1,10,0,NA,NA,NA,NA,2
Esteio-Colosso,5750,691,C,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,1,1,10,0,NA
Esteio-Colosso,5750,576,J,9,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,790,J,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,1,1,18,0,NA,2,28,0,NA
Esteio-Colosso,5750,118,A,7,3,45,0,NA,3,15,0,NA,3,40,0,NA,3,47,0,NA,4,47,0,NA,4,41,0,NA
Esteio-Colosso,5750,168,E,9,5,37,0,NA,5,44,0,NA,5,42,0,NA,6,48,0,NA,6,58,0,NA,6,73,0,NA
Esteio-Colosso,5750,2360,A,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,871,J,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,581,E,8,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,1,1,10,0,NA,1,9,0,NA,2,10,0,NA
Esteio-Colosso,5750,2329,J,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,967,E,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,2015,J,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,1301,H,8,4,122,1,NA,3,108,0,NA,4,89,0,NA,3,83,0,NA,2,70,0,NA,2,55,0,NA
Esteio-Colosso,5750,1442,B,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,1,1,5,0,NA
Esteio-Colosso,5750,2100,I,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,217,E,7,1,22,0,NA,2,22,0,NA,2,27,0,NA,2,25,0,NA,2,21,0,NA,1,14,0,NA
Esteio-Colosso,5750,928,G,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,1387,I,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,589,I,9,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,1,1,6,0,NA,1,7,0,NA,1,7,0,NA
Esteio-Colosso,5750,904,F,10,4,55,1,NA,4,52,1,NA,4,45,0,NA,6,57,0,NA,4,61,0,NA,5,60,1,NA
Esteio-Colosso,5750,338,B,8,3,48,1,NA,5,47,0,NA,3,54,0,NA,3,31,0,NA,4,69,0,NA,2,70,1,NA
Esteio-Colosso,5750,181,D,8,4,37,0,NA,4,34,0,NA,4,37,0,NA,4,46,0,NA,6,62,0,NA,3,47,1,NA
Esteio-Colosso,5750,352,H,8,1,13,0,NA,2,13,0,NA,1,12,0,NA,1,12,0,NA,1,13,0,NA,1,7,0,NA
Esteio-Colosso,5750,2032,A,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,2350,J,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,1312,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,762,C,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,0,1,1,8,0,NA
Esteio-Colosso,5750,2013,J,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,2022,J,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,329,C,8,1,5,0,NA,1,10,0,NA,1,8,0,NA,2,14,0,NA,1,12,0,NA,1,16,0,NA
Esteio-Colosso,5750,667,C,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,0,1,NA,NA,NA,60
Esteio-Colosso,5750,193,C,8,2,12,0,NA,2,13,0,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60
Esteio-Colosso,5750,975,G,7,4,67,0,NA,4,68,0,NA,3,65,0,NA,3,17,0,NA,2,28,0,NA,1,19,0,NA
Esteio-Colosso,5750,2087,I,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esteio-Colosso,5750,439,J,7,1,16,0,NA,2,15,0,NA,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60,NA,NA,NA,60
